,availability_30,availability_60,availability_90,availability_365
1010,12,40,40,154
1011,0,0,21,137
1012,15,45,75,350
1014,0,24,24,24
1015,25,53,53,53
1016,0,0,0,0
1018,17,47,77,352
1020,3,20,28,275
1022,12,34,34,279
1024,5,35,65,339
1025,3,33,63,153
1026,0,0,1,249
1029,1,25,25,25
1030,1,1,1,5
1031,10,38,68,343
1032,24,54,84,359
1033,23,53,83,358
1034,2,31,61,305
1035,1,31,58,58
1036,10,40,57,120
1039,0,0,0,0
1040,0,0,0,0
1041,16,16,16,179
1043,30,60,90,179
1044,3,31,43,43
1045,0,0,27,27
1046,24,54,83,83
1049,0,0,0,0
1050,15,18,48,323
1051,12,42,72,346
1052,0,0,0,0
1053,3,33,63,338
1054,4,33,63,148
1055,0,0,0,0
1056,6,32,61,88
1057,0,0,0,186
1058,2,29,59,334
1059,19,49,79,259
1060,0,28,58,333
1061,0,23,53,165
1064,30,60,90,365
1065,29,59,89,364
1066,11,41,71,346
1067,2,5,23,210
1069,3,4,34,309
1072,0,0,0,0
1073,0,11,19,234
1075,12,34,64,339
1076,0,0,0,0
1077,29,59,89,364
1078,4,34,64,244
1080,0,0,0,30
1081,3,33,63,337
1083,0,0,0,0
1085,3,23,29,187
1087,1,1,1,1
1090,0,0,0,0
1091,2,2,2,2
1092,23,53,83,358
1093,0,0,0,0
1094,6,13,19,128
1095,8,23,53,326
1096,4,31,56,322
1097,19,20,20,21
1099,0,0,0,0
1100,0,0,0,0
1102,8,22,25,25
1103,6,13,13,276
1104,3,33,62,175
1105,17,47,77,167
1106,3,3,3,28
1107,23,25,36,83
1109,0,0,0,0
1110,1,3,3,237
1112,23,24,25,182
1113,0,26,56,331
1114,0,0,0,0
1115,15,30,30,202
1117,0,0,0,0
1120,11,14,44,319
1121,0,0,0,0
1123,25,27,57,115
1126,0,0,0,0
1128,0,0,0,0
1129,3,23,53,142
1131,0,19,49,229
1132,0,0,0,0
1133,0,0,0,0
1134,0,2,32,307
1135,0,0,16,291
1137,2,32,35,185
1138,30,60,89,89
1139,11,41,71,346
1140,0,0,0,0
1141,29,59,89,364
1142,14,44,74,164
1144,30,60,90,365
1145,5,35,65,155
1146,0,17,21,184
1147,29,36,36,36
1148,0,0,4,4
1149,0,12,12,13
1150,8,26,30,146
1151,12,42,72,249
1152,0,0,0,0
1154,3,6,28,123
1155,15,45,75,350
1159,29,59,89,364
1160,29,59,89,364
